时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-28 下午04:26:08,Male,France,Paris-Saclay,4th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Much Worse,Much Worse,Worse,NA,Neutral,"Getting fast and reliable internet connection, Communicating online with other students during classes, Doing homework together with other students, Alternating studying and doing physical exercise",Neutral,Better,Better,Worse,Much Worse,Much Worse,"Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Better,Much Worse,Better,Better,"Eating well, Consuming less alcohol / tobacco / drugs, Going out in the sun, Taking regular breaks/naps",Worse,Neutral,Worse,Neutral,Worse,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Worse,Much Worse,Neutral,Neutral,3,4,Going out with friends,I agree.
2020-6-28 下午05:26:51,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Neutral,Worse,Worse,Neutral,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Alternating studying and doing physical exercise",Better,Neutral,Neutral,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Worse,Worse,Neutral,Worse,Better,Neutral,"Eating well, Physically exercising, Taking showers or baths, Drinking water regularly",Neutral,Neutral,Neutral,Neutral,Neutral,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Neutral,Worse,Worse,Worse,2,4,Friends and sport,I agree.
2020-6-28 下午05:51:30,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Better,Better,Better,Neutral,Better,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Communicating online with other students during classes",Better,Neutral,Worse,Worse,Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Exchanging affection, or physical care (like massages), or having intimate relationships",Worse,Worse,Neutral,Worse,Neutral,Better,"Eating well, Sleeping well, Going out in the sun, Drinking water regularly",Worse,Worse,Much Worse,Worse,Worse,Neutral,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Doing housekeeping",Better,Worse,Much Worse,Worse,2,5,friends and lover,I agree.
2020-6-28 下午05:55:37,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Neutral,Better,Neutral,Neutral,Better,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Much Better,Neutral,Better,Worse,Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Neutral,Better,Much Better,Much Better,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Taking regular breaks/naps",Neutral,Neutral,Neutral,Neutral,Worse,Better,"Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal, Doing housekeeping",Neutral,Better,Neutral,Worse,3,4,Going out withoug worrying about the virus,I agree.
2020-6-28 下午06:01:10,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Better,Better,Better,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Worse,Much Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Better,Much Better,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Neutral,Neutral,Worse,Neutral,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal",Better,Better,Neutral,Worse,3,5,My friends and my usual physical activities,I agree.
2020-6-28 下午07:06:12,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Better,Better,Neutral,Worse,Neutral,"Getting fast and reliable internet connection, Doing homework regularly, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Neutral,Better,Worse,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Neutral,Worse,Better,Better,Neutral,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Worse,Worse,Much Worse,Worse,Much Worse,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Worse,Better,Worse,Much Worse,1,5,Being free,I agree.
2020-6-28 下午07:24:27,Male,France,CentraleSupelec,4th,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Better,Neutral,Better,Better,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Better,Much Worse,Better,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Better,Worse,Better,Better,Worse,Better,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Going out in the sun",Neutral,Worse,Much Worse,Worse,Neutral,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Cooking a nice meal",Better,Neutral,Neutral,Much Worse,2,5,My association,I agree.
2020-6-28 下午08:13:41,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Worse,Neutral,Neutral,Worse,Neutral,Worse,"Communicating online with other students during classes, Doing homework together with other students, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Worse,Better,Better,Neutral,Much Worse,Neutral,"Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Worse,Much Better,Neutral,Better,"Physically exercising, Going out in the sun, Drinking water regularly, Taking regular breaks/naps",Neutral,Worse,Worse,Better,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Getting clean and dressing well, Cooking a nice meal",Neutral,Better,Neutral,Worse,2,3,My girlfriend and I still do,I agree.
2020-6-28 下午09:03:15,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Neutral,Neutral,Neutral,Neutral,"Attending class regularly, Communicating online with other students during classes, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Better,Worse,Much Better,Worse,Much Worse,Worse,"Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Neutral,Neutral,Worse,Better,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Neutral,Neutral,Worse,Worse,Worse,Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Getting clean and dressing well, Doing housekeeping",Neutral,Worse,Neutral,Worse,3,5,friend relationship,I agree.
2020-6-28 下午10:38:42,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,NA,Much Worse,Worse,Neutral,Worse,Neutral,"Attending class regularly, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Better,Neutral,Better,Worse,Much Worse,Better,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Better,Better,Better,Better,"Eating well, Sleeping well, Physically exercising, Breathing well",Neutral,Neutral,Worse,Better,Neutral,Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal",Worse,Better,Worse,Worse,1,3,Friends,I agree.
2020-6-28 下午11:36:20,Male,France,Paris-Saclay,4th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Better,Neutral,Neutral,Much Worse,Neutral,"Getting fast and reliable internet connection, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes",Neutral,Worse,Neutral,Neutral,Much Worse,Worse,"Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Worse,Better,Neutral,Neutral,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Going out in the sun",Neutral,Worse,Worse,Neutral,Worse,Worse,"Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Cooking a nice meal",Neutral,Neutral,Worse,Much Worse,2,5,Social interactions ,I agree.
2020-6-29 上午03:59:29,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,3,NO,Better,Worse,Worse,Neutral,Neutral,Neutral,"Getting fast and reliable internet connection, Doing homework together with other students, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Much Better,Better,Worse,Much Better,Neutral,Worse,"Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Better,Much Better,Much Worse,Better,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Taking regular breaks/naps",Neutral,Neutral,Worse,Neutral,Neutral,Neutral,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Doing housekeeping",Neutral,Better,Better,Better,3,5,Big events. Seeing hundreds of people,I agree.
2020-6-29 上午04:45:12,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Better,Better,Neutral,Neutral,Neutral,"Attending class regularly, Meeting one-on-one with instructors, Listening to music while working, Taking regularly little breaks/pauses/naps",Better,Much Better,Neutral,Neutral,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Better,Better,Much Better,Better,Better,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Better,Better,Worse,Neutral,Better,Neutral,"Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Physically exercising, sleeping",Better,Better,Neutral,Worse,3,5,social interactions and changing environment,I agree.
2020-6-29 下午02:20:24,Female,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, due to COVID-19",Worse,Much Worse,Neutral,Neutral,Worse,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students",Neutral,Worse,Neutral,Neutral,Much Worse,Worse,"Joining on-line clubs, forums, or dating services, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Much Worse,Worse,Worse,Neutral,Worse,"Eating well, Sleeping well, Taking your prescription medicines regularly, Breathing well",Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,"Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Worse,Worse,Worse,Worse,2,5,Be close to people,I agree.
2020-6-29 下午05:43:45,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),5,Prefer not to say,Much Worse,Much Worse,Better,Worse,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Meeting one-on-one with instructors",Better,Better,Worse,Neutral,Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Neutral,Neutral,Worse,Better,Much Better,"Eating well, Sleeping well, Going out in the sun, Drinking water regularly",Worse,Worse,Worse,Neutral,Better,Worse,"Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Getting clean and dressing well, Cooking a nice meal",Better,Worse,Worse,Worse,2,5,Meeting friends and enjoying my activities in associations,I agree.
2020-6-29 下午07:21:52,Female,Germany,CentraleSupélec et Technische Universität München,5th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),5,NO,Neutral,Worse,Neutral,Worse,NA,Much Worse,"Attending class regularly, Communicating online with other students during classes, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Better,Better,Worse,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely)",Worse,Much Worse,Worse,Better,Much Better,Much Worse,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Worse,Worse,Much Worse,Worse,Worse,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal",Worse,Better,Much Worse,Much Worse,2,5,Friends and social interactions,I agree.
2020-6-29 下午08:27:23,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,4,NO,Better,Worse,Better,Neutral,Much Better,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Taking regularly little breaks/pauses/naps",Neutral,Better,Better,Worse,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Neutral,Neutral,Worse,Better,Better,"Eating well, Sleeping well, Physically exercising, Breathing well",Neutral,Neutral,Better,Neutral,Neutral,Better,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Getting clean and dressing well, Doing housekeeping",Better,Worse,Neutral,Worse,2,5,Friends,I agree.
2020-6-30 上午12:38:12,Other or prefer not to disclose,France,Paris-Saclay,3rd,"Yes, I am  in the last year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Worse,Worse,Neutral,Better,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students",Worse,Better,Worse,Better,Much Worse,Worse,"Having regular video-conference meetings, Taking care of pets or plants, Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Better,Worse,Worse,Neutral,Better,"Eating well, Sleeping well, Drinking water regularly, Taking regular breaks/naps",Neutral,Worse,Worse,Neutral,Worse,Better,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Cooking a nice meal",Worse,Much Worse,Neutral,Neutral,3,5,Meeting my lover,I agree.
2020-6-30 下午02:33:23,Male,Switzerland,Ecole Polytechnique Federale de Lausanne,1st,"Yes, I am in the first year of my program","Computer Science, computer engineering",Other,University lodging or temporary lodging near the university,4,NO,Neutral,Neutral,Much Better,Better,Neutral,NA,"Getting fast and reliable internet connection, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Better,Better,NA,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Playing games with friends or family (potentially remotely), Chatting with people sharing your lodging",NA,Worse,Neutral,Better,NA,Neutral,"Eating well, Physically exercising, Drinking water regularly, Taking regular breaks/naps",Worse,Worse,Worse,Neutral,Neutral,Neutral,"Physically exercising, Watching videos or television, reading, or listening to music, Doing housekeeping, Doing what is on your ""to do when I have more time or when there is a pandemic"" list",Neutral,Better,Neutral,Worse,3,5,My friends & family,I agree.
2020-6-30 下午03:57:10,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),3,NO,Better,Neutral,Better,Neutral,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Communicating online with other students during classes, Meeting one-on-one with instructors",Much Better,Better,Worse,Neutral,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Better,Neutral,Worse,Better,Neutral,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Neutral,Neutral,Neutral,Neutral,Better,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Doing housekeeping",Neutral,Neutral,Neutral,Worse,3,4,Friends and parties,I agree.
2020-6-30 下午06:18:34,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Business, economics, finance, marketing, accounting, entrepreneurship",Other,University lodging or temporary lodging near the university,4,"YES, due to COVID-19",Worse,Neutral,Better,Much Better,Worse,Much Worse,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Worse,Neutral,NA,Worse,Much Worse,Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Taking care of a child or of someone in need (potentially remotely)",Neutral,Much Worse,Much Worse,Worse,Neutral,Much Worse,"Physically exercising, Going out in the sun, Taking showers or baths, Taking regular breaks/naps",Much Worse,Worse,Much Worse,Neutral,Neutral,Worse,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well",Better,Worse,Neutral,Much Worse,3,5,travelling,I agree.
2020-6-30 下午07:42:58,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Better,Neutral,Neutral,Neutral,Neutral,"Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Better,Worse,Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely)",Neutral,Better,Better,Better,Much Better,Much Better,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Neutral,Neutral,Worse,Neutral,Neutral,Neutral,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Cooking a nice meal, Doing housekeeping",Neutral,Better,Better,Worse,4,5,Girlfriend,I agree.
2020-6-30 下午09:40:43,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other sciences,Same country as university,University lodging or temporary lodging near the university,1,NO,Worse,Much Worse,Much Worse,Neutral,Better,Worse,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Alternating studying and doing physical exercise",Neutral,Much Worse,Much Worse,Neutral,Neutral,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Taking care of a child or of someone in need (potentially remotely)",Neutral,Much Better,Worse,Worse,Neutral,Much Better,"Sleeping well, Physically exercising, Taking your prescription medicines regularly, Drinking water regularly",Much Worse,Neutral,Much Better,Much Better,Worse,Much Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument",Worse,Much Worse,Much Worse,Better,5,1,Physical contact,I agree.
2020-6-30 下午09:43:33,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),1,NO,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Better,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Better,Neutral,Neutral,"Eating well, Physically exercising, Breathing well, Drinking water regularly",Neutral,Neutral,Neutral,Neutral,Neutral,Better,"Learning something new, Finishing to a lesson or do homework, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Better,Neutral,Neutral,4,5,My university ,I agree.
2020-6-30 下午09:45:17,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Neutral,Neutral,Neutral,Better,Worse,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Much Worse,Neutral,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Neutral,Worse,Neutral,Better,"Physically exercising, Going out in the sun, Drinking water regularly, Taking regular breaks/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal",Neutral,Worse,Neutral,Worse,3,5,Physical social interaction,I agree.
2020-6-30 下午10:06:07,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Experimental sciences (physics, biology, chemistry)",Other,Primary residence or your family place (if different from your university lodging),4,"YES, but due to other reasons",Neutral,Neutral,Better,Neutral,Neutral,Worse,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Better,Much Better,Neutral,Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Neutral,NA,Much Better,Better,NA,Neutral,"Sleeping well, Physically exercising, Taking showers or baths, Taking regular breaks/naps",Much Worse,Worse,Neutral,Neutral,Neutral,Better,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument",Neutral,Neutral,Neutral,Worse,3,4,nothing,I agree.
2020-6-30 下午10:32:29,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Better,Better,Better,Better,Better,Better,"Communicating online with other students during classes, Doing homework together with other students, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Better,Better,Better,Neutral,Better,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Better,Better,Better,Better,Better,Better,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Better,Better,Better,5,5,Family and friends,I agree.
